dummy,dummy,dummy,dummy
Jayant Yadav,0.0,0.1,1
R Ashwin,0.162393162393,0.126666666667,1
Parvez Rasool,0.195631528965,0.2,1
Moises Henriques,0.207027540361,0.0182222222222,1
Z Khan,0.219373219373,0.0967777777778,1
MA Starc,0.249762583096,0.01,1
Brad Hogg,0.258309591643,0.0222222222222,1
Sandeep Sharma,0.271604938272,0.123111111111,1
Bipul Sharma,0.2849002849,0.0222222222222,1
Ishwar Pandey,0.289648622982,0.0545555555556,1
Domnic Joseph,0.291547958215,0.1,1
A Nehra,0.294396961064,0.0545555555556,1
SP Narine,0.301044634378,0.171444444444,1
S Aravind,0.302943969611,0.0166666666667,1
Gurkeerat Singh,0.302943969611,0.0666666666667,1
M Morkel,0.30579297246,0.0533333333333,1
STR Binny,0.306742640076,0.183333333333,1
SL Malinga,0.309591642925,0.0333333333333,1
CH Morris,0.309591642925,0.082,1
JP Duminy,0.310541310541,0.00833333333333,1
HV Patel,0.317188983856,0.0385555555556,1
NM Coulter-Nile,0.32383665717,0.0555555555556,1
PP Chawla,0.337132003799,0.0787777777778,1
A Mishra,0.339981006648,0.164222222222,1
RA Jadeja,0.340930674264,0.125222222222,1
SK Raina,0.342830009497,0.266666666667,1
Harbhajan Singh,0.349477682811,0.0777777777778,1
PV Tambe,0.349477682811,0.190444444444,1
B Kumar,0.355175688509,0.058,1
Iqbal Abdulla,0.356125356125,0.183333333333,1
DS Kulkarni,0.358024691358,0.0461111111111,1
AD Russell,0.363722697056,0.0603333333333,1
RS Bopara,0.366571699905,0.0888888888889,1
Yuvraj Singh,0.366571699905,0.466666666667,2
J Botha,0.376068376068,0.533333333333,2
DJ Bravo,0.379867046534,0.000888888888889,1
Ankit Sharma,0.379867046534,0.177777777778,1
AD Mathews,0.385565052232,0.152333333333,1
MJ McClenaghan,0.386514719848,0.0407777777778,1
CJ Anderson,0.390313390313,0.133333333333,1
A Ashish Reddy,0.397910731244,0.0,1
D Wiese,0.39886039886,0.0431111111111,1
Karn Sharma,0.39886039886,0.132222222222,1
BE Hendricks,0.402659069326,0.04,1
AR Patel,0.404558404558,0.106,1
P Negi,0.404558404558,0.2,1
TA Boult,0.407407407407,0.0741111111111,1
MM Sharma,0.408357075024,0.138111111111,1
Vinay Kumar,0.410256410256,0.281,1
DJ Hooda,0.414055080722,0.877777777778,2
DR Smith,0.414055080722,0.0,1
J Suchith,0.42735042735,0.126666666667,1
Shakib Al Hasan,0.441595441595,0.1,1
TJ Southee,0.444444444444,0.177777777778,1
Imran Tahir,0.447293447293,0.0244444444444,1
YS Chahal,0.44824311491,0.00244444444444,1
DW Steyn,0.456790123457,0.288888888889,0
Anureet Singh,0.461538461538,0.0963333333333,1
JA Morkel,0.469135802469,0.133333333333,0
UT Yadav,0.471035137702,0.146666666667,0
P Kumar,0.474833808167,0.209555555556,0
R Dhawan,0.477682811016,0.666666666667,2
NLTC Perera,0.477682811016,0.266666666667,0
SR Watson,0.488129154796,0.188888888889,0
MG Johnson,0.500474833808,0.132111111111,0
JP Faulkner,0.506172839506,0.241666666667,0
KA Pollard,0.506172839506,0.148111111111,0
GJ Maxwell,0.528015194682,0.2,0
YK Pathan,0.528015194682,0.2,0
PJ Cummins,0.528015194682,0.533333333333,2
J Theron,0.556505223172,0.133333333333,0
VR Aaron,0.576448243115,0.251888888889,0
GS Sandhu,0.58024691358,0.4,0
R Tewatia,0.587844254511,0.0666666666667,0
HH Pandya,0.589743589744,1.0,2
S Gopal,0.613485280152,0.0111111111111,0
Abu Nechim,0.620132953466,0.666666666667,2
RG More,0.633428300095,0.255555555556,0
Karanveer Singh,0.671415004748,0.8,2
I Sharma,0.685660018993,0.8,2
JJ Bumrah,0.77207977208,0.2,0
SN Thakur,0.810066476733,0.0666666666667,0
KC Cariappa,0.936372269706,0.0,0
Shivam Sharma,1.0,0.0666666666667,0
