tuple,0,1,2,3,4,6,out,extras
(0:0),0.3246024321796071,0.2993451824134705,0.06922357343311505,0.002806361085126286,0.13657623947614594,0.0411599625818522,0.03928905519176801,0.08699719363891488
(0:1),0.31808278867102396,0.30610021786492375,0.07734204793028322,0.0,0.1394335511982571,0.0718954248366013,0.026143790849673203,0.06100217864923747
(0:2),0.2366412213740458,0.2900763358778626,0.030534351145038167,0.0,0.2366412213740458,0.08396946564885496,0.04580152671755725,0.07633587786259542
(0:3),0.3076923076923077,0.38461538461538464,0.11538461538461539,0.0,0.0,0.0,0.11538461538461539,0.07692307692307693
(0:4),0.22807017543859648,0.38596491228070173,0.03508771929824561,0.0,0.14035087719298245,0.03508771929824561,0.08771929824561403,0.08771929824561403
(1:0),0.33213149522799573,0.3563096500530223,0.054931071049840935,0.005726405090137858,0.10434782608695652,0.03329798515376458,0.06023329798515376,0.053022269353128315
(1:1),0.3471707437608105,0.3281443044230294,0.061279960464541636,0.0014825796886582653,0.10921670373115888,0.05263157894736842,0.03533481591302199,0.06473931307141093
(1:2),0.24314442413162707,0.3235831809872029,0.08592321755027423,0.0,0.10603290676416818,0.08043875685557587,0.08957952468007313,0.0712979890310786
(1:3),0.40789473684210525,0.31140350877192985,0.03508771929824561,0.0043859649122807015,0.04824561403508772,0.021929824561403508,0.10087719298245613,0.07017543859649122
(1:4),0.3129251700680272,0.3707482993197279,0.05442176870748299,0.0,0.07142857142857142,0.027210884353741496,0.10204081632653061,0.061224489795918366
(2:0),0.3271276595744681,0.3617021276595745,0.09042553191489362,0.0,0.09840425531914894,0.031914893617021274,0.015957446808510637,0.07446808510638298
(2:1),0.3041825095057034,0.3193916349809886,0.034220532319391636,0.0038022813688212928,0.1482889733840304,0.09505703422053231,0.0076045627376425855,0.08745247148288973
(2:2),0.23529411764705882,0.17647058823529413,0.08823529411764706,0.0,0.20588235294117646,0.08823529411764706,0.0,0.20588235294117646
(2:3),0.3076923076923077,0.5384615384615384,0.0,0.0,0.0,0.15384615384615385,0.0,0.0
(2:4),0.2,0.2,0.26666666666666666,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667
(3:0),0.35,0.346,0.052,0.005,0.108,0.039,0.039,0.061
(3:1),0.3195718654434251,0.3577981651376147,0.05198776758409786,0.0030581039755351682,0.10397553516819572,0.07033639143730887,0.0382262996941896,0.05504587155963303
(3:2),0.3157894736842105,0.22105263157894736,0.10526315789473684,0.010526315789473684,0.10526315789473684,0.11578947368421053,0.05263157894736842,0.07368421052631578
(3:3),0.4666666666666667,0.3333333333333333,0.022222222222222223,0.0,0.044444444444444446,0.022222222222222223,0.044444444444444446,0.06666666666666667
(3:4),0.3953488372093023,0.4186046511627907,0.023255813953488372,0.0,0.06976744186046512,0.023255813953488372,0.046511627906976744,0.023255813953488372
